,School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,LEAID
1085,INTOWN CHARTER ACADEMY,Georgia,,,,11-City: Large,11-City: Large,,,,,360,,,,,357,,,,,,,,0,,,,,357,,,,,286,,,,,,130012000000.0,,,,,5-Title I schoolwide school,,,,,Yes participating without using any Provision or the CEO,,,,,,,,,7,,360.0,,0,,1,,351,,1,,0,,0,1300120.0
1086,IRMA C. AUSTIN MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,894,927.0,979.0,927.0,877,309,315,316,322,265,161,138.0,185,95,86,77,63,71,404,401.0,393,385,336,884,927.0,979.0,927.0,877,,,,,,130402000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Irma C. Austin Middle School,Paulding County,13223.0,30134.0,Douglasville,31,33,894,877.0,1,2,503,554,274,207,77,75,5,3,3,3,1304020.0
1087,IRWIN COUNTY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,828,877.0,864.0,900.0,920,728,772,759,791,586,355,392.0,405,0,0,0,0,79,728,772.0,759,791,665,626,662.0,662.0,699.0,686,,,,,,130291000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Irwin County Elementary School,Irwin County,13155.0,31774.0,Ocilla,29,25,828,920.0,0,2,501,522,255,326,40,38,3,4,0,3,1302910.0
1088,IRWIN COUNTY HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,474,479.0,485.0,456.0,463,362,365,370,224,235,155,176.0,161,0,0,0,31,51,362,365.0,370,255,286,,,,,,474,479.0,485.0,456.0,463,130291000000.0,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Irwin County High School,Irwin County,13155.0,31774.0,Ocilla,5,7,474,463.0,0,1,290,300,153,132,24,20,1,3,1,0,1302910.0
1089,IRWIN COUNTY MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,417,377.0,411.0,423.0,420,318,288,313,269,258,150,166.0,187,0,0,0,27,39,318,288.0,313,296,297,407,377.0,411.0,423.0,420,,,,,,130291000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Irwin County Middle School,Irwin County,13155.0,31774.0,Ocilla,6,6,417,420.0,0,0,246,259,140,136,24,18,0,0,1,1,1302910.0
1090,ISLANDS HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1016,1019.0,1022.0,983.0,939,255,192,243,252,242,137,111.0,156,53,35,42,44,32,308,227.0,285,296,274,,,,,,1016,1019.0,1022.0,983.0,939,130102000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Islands High School,Chatham County,13051.0,31410.0,Savannah,53,49,1016,939.0,0,1,660,660,182,147,73,24,47,53,1,5,1301020.0
1091,ISLE OF HOPE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,12-City: Mid-size,833,817.0,809.0,810.0,739,532,523,515,575,541,341,294.0,390,93,65,65,46,62,625,588.0,580,621,603,696,670.0,680.0,670.0,599,,,,,,130102000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Prekindergarten,Isle of Hope School,Chatham County,13051.0,31406.0,Savannah,38,32,833,739.0,3,0,189,137,553,544,39,16,11,9,0,1,1301020.0
1092,ISON SPRINGS ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,13-City: Small,650,684.0,641.0,761.0,788,420,450,435,514,577,146,131.0,215,65,67,47,76,61,485,517.0,482,590,638,492,534.0,522.0,594.0,602,,,,,,130228000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ison Springs Elementary School,Fulton County,13121.0,30350.0,Sandy Springs,36,28,650,788.0,1,1,60,79,295,360,227,302,30,18,1,0,1302280.0
1093,ITHICA ELEMENTARY,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,736,732.0,739.0,724.0,676,290,305,328,342,364,153,138.0,216,75,67,64,60,51,365,372.0,392,402,415,595,593.0,595.0,562.0,532,,,,,,130084000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ithica Elementary,Carroll County,13045.0,30180.0,Villa Rica,39,38,736,676.0,0,0,428,416,178,162,81,51,7,8,3,1,1300840.0
1094,IVY CREEK ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1237,1140.0,1080.0,945.0,916,267,299,285,258,232,108,148.0,126,88,65,68,61,69,355,364.0,353,319,301,1037,940.0,889.0,786.0,779,,,,,,130255000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Ivy Creek Elementary School,Gwinnett County,13135.0,30519.0,Buford,63,33,1237,916.0,1,1,591,490,204,157,229,138,146,96,3,1,1302550.0
1095,IVY PREPARATORY ACADEMY AT GWINNETT,Georgia,,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,,106.0,145.0,272.0,306,,40,33,74,133,,14.0,25,,7,19,25,45,,47.0,52,99,178,,106.0,145.0,236.0,265,,,,36.0,41,130022000000.0,,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,,,,,,,9,,306.0,,0,,6,,215,,56,,19,,1,1300215.0
1096,IVY PREPARATORY ACADEMY- INC,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,509,512.0,417.0,392.0,384,232,325,136,191,269,159,120.0,156,20,50,50,45,32,252,375.0,186,236,301,473,466.0,374.0,330.0,324,,,,15.0,22,130023000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Kindergarten,Ivy Preparatory Academy- Inc,DeKalb County,13089.0,30317.0,Atlanta,3,1,509,384.0,0,0,0,3,478,378,26,1,1,1,1,0,1300226.0
1097,IVY PREPARATORY YOUNG MEN'S LEADERSHIP ACADEMY- INC.,Georgia,,,,21-Suburb: Large,21-Suburb: Large,,,,328.0,359,,,,159,238,,,,,,,31,45,,,,190,283,,,,273.0,297,,,,22.0,25,130023000000.0,,,,5-Title I schoolwide school,5-Title I schoolwide school,,,,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,,,,,,,,,5,,359.0,,0,,4,,348,,2,,0,,0,1300229.0
1098,J. A. DOBBINS MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,643,673.0,707.0,735.0,793,304,307,318,337,361,158,145.0,192,67,59,78,71,78,371,366.0,396,408,439,633,673.0,707.0,735.0,793,,,,,,130402000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,J. A. Dobbins Middle School,Paulding County,13223.0,30127.0,Powder Springs,35,45,643,793.0,0,1,276,409,225,250,102,76,5,8,0,4,1304020.0
1099,J. D. DICKERSON PRIMARY SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,529,505.0,524.0,543.0,554,489,467,484,414,393,174,272.0,226,0,0,0,35,42,489,467.0,484,449,435,169,181.0,184.0,199.0,182,,,,,,130534000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,1st Grade,Prekindergarten,J. D. Dickerson Primary School,Toombs County,13279.0,30474.0,Vidalia,30,21,529,554.0,0,1,202,186,266,298,31,46,0,2,0,0,1305340.0
1100,J. KNOX ELEMENTARY,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1023,804.0,770.0,772.0,770,347,215,207,188,199,154,127.0,80,67,30,25,31,24,414,245.0,232,219,223,833,674.0,627.0,654.0,637,,,,,,130111000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,J. Knox Elementary,Cherokee County,13057.0,30114.0,Canton,41,21,1023,770.0,0,2,662,596,59,44,251,100,7,6,3,1,1301110.0
1101,J. L. LOMAX ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,615,606.0,566.0,535.0,585,615,606,566,532,585,447,459.0,459,0,0,0,0,0,615,606.0,566,532,585,451,450.0,420.0,373.0,420,,,,,,130531000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,J. L. Lomax Elementary School,Lowndes County,13185.0,31601.0,Valdosta,12,3,615,585.0,0,0,14,16,517,521,71,45,1,0,0,0,1305310.0
1102,J. R. TRIPPE MIDDLE SCHOOL,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,568,547.0,516.0,518.0,541,526,506,477,334,334,227,240.0,186,0,0,0,40,40,526,506.0,477,374,374,558,547.0,516.0,518.0,541,,,,,,130534000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,J. R. Trippe Middle School,Toombs County,13279.0,30474.0,Vidalia,15,8,568,541.0,0,0,233,240,277,259,35,30,7,4,1,0,1305340.0
1103,J. T. REDDICK ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,358,637.0,560.0,554.0,539,345,614,532,525,510,138,305.0,236,0,0,0,0,0,345,614.0,532,525,510,293,637.0,560.0,554.0,539,,,,,,130498000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Kindergarten,J. T. Reddick Elementary School,Tift County,13277.0,31794.0,Tifton,21,13,358,539.0,0,0,145,234,164,177,15,111,13,4,0,0,1304980.0
1104,JACK P NIX ELEMENTARY SCHOOL,Georgia,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,32-Town: Distant,470,482.0,473.0,436.0,462,232,252,260,248,259,160,161.0,205,38,30,33,33,36,270,282.0,293,281,295,377,372.0,373.0,286.0,311,,,,,,130567000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jack P Nix Elementary School,White County,13311.0,30528.0,Cleveland,23,27,470,462.0,0,0,400,404,19,7,22,20,6,4,0,0,1305670.0
1105,JACKSON COUNTY COMPREHENSIVE HIGH SCHOOL,Georgia,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,31-Town: Fringe,1228,1190.0,1174.0,1106.0,1114,273,304,275,299,297,132,175.0,162,95,67,95,72,114,368,371.0,370,371,411,,,,,,1228,1190.0,1174.0,1106.0,1114,130294000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Jackson County Comprehensive High School,Jackson County,13157.0,30549.0,Jefferson,38,24,1228,1114.0,2,0,934,876,59,38,158,124,35,49,2,3,1302940.0
1106,JACKSON ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,527,557.0,553.0,544.0,558,467,484,480,473,431,214,192.0,248,0,0,0,0,0,467,484.0,480,473,431,402,429.0,433.0,419.0,444,,,,,,130069000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Jackson Elementary School,Butts County,13035.0,30233.0,Jackson,32,20,527,558.0,0,0,240,305,217,207,29,21,9,5,0,0,1300690.0
1107,JACKSON ELEMENTARY SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,700,742.0,774.0,829.0,834,38,24,34,39,43,20,11.0,15,8,10,6,7,6,46,34.0,40,46,49,561,612.0,662.0,699.0,711,,,,,,130012000000.0,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Elementary School,Fulton County,13121.0,30327.0,Atlanta,39,25,700,834.0,1,1,457,631,101,100,54,35,48,39,0,3,1300120.0
1108,JACKSON ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1545,1581.0,1630.0,1755.0,1673,758,860,887,959,830,261,382.0,330,166,129,172,152,149,924,989.0,1059,1111,979,1306,1327.0,1376.0,1501.0,1415,,,,,,130255000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Elementary School,Gwinnett County,13135.0,30043.0,Lawrenceville,76,38,1545,1673.0,2,2,235,368,410,431,594,571,226,250,2,13,1302550.0
1109,JACKSON ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,650,657.0,662.0,579.0,596,401,419,463,380,372,158,144.0,218,41,43,25,42,26,442,462.0,488,422,398,476,509.0,492.0,453.0,462,,,,,,130228000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Jackson Elementary School,Fulton County,13121.0,30076.0,Roswell,22,21,650,596.0,1,1,138,145,126,144,348,275,9,10,6,0,1302280.0
1110,JACKSON HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,981,962.0,967.0,1005.0,980,869,837,840,873,758,268,292.0,298,0,0,0,0,0,869,837.0,840,873,758,,,,,,981,962.0,967.0,1005.0,980,130069000000.0,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),12th Grade,9th Grade,Jackson High School,Butts County,13035.0,30233.0,Jackson,32,34,981,980.0,1,1,598,577,317,333,32,28,1,6,0,1,1300690.0
