School Name,State Name [Public School] Latest available year,Urban-centric Locale [Public School] 2018-19,Urban-centric Locale [Public School] 2017-18,Urban-centric Locale [Public School] 2016-17,Urban-centric Locale [Public School] 2015-16,Urban-centric Locale [Public School] 2014-15,"Total Students, All Grades (Excludes AE) [Public School] 2018-19","Total Students, All Grades (Excludes AE) [Public School] 2017-18","Total Students, All Grades (Excludes AE) [Public School] 2016-17","Total Students, All Grades (Excludes AE) [Public School] 2015-16","Total Students, All Grades (Excludes AE) [Public School] 2014-15",Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Direct Certification [Public School] 2018-19,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Free and Reduced Lunch Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2016-17,Free and Reduced Lunch Students [Public School] 2015-16,Free and Reduced Lunch Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2016-17,Grades 1-8 Students [Public School] 2015-16,Grades 1-8 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2016-17,Grades 9-12 Students [Public School] 2015-16,Grades 9-12 Students [Public School] 2014-15,School ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2018-19,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,National School Lunch Program [Public School] 2018-19,National School Lunch Program [Public School] 2017-18,National School Lunch Program [Public School] 2016-17,National School Lunch Program [Public School] 2015-16,National School Lunch Program [Public School] 2014-15,Highest Grade Offered [Public School] 2018-19,Lowest Grade Offered [Public School] 2018-19,School Name [Public School] 2018-19,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2014-15,Agency ID - NCES Assigned [Public School] Latest available year
HEPHZIBAH MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,393,426,452,493,550,379,410,437,477,532,154,226,210,0,0,0,0,0,379,410,437,477,532,383,426,452,493,550,NA,NA,NA,NA,NA,1.30438E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),8th Grade,6th Grade,Hephzibah Middle School,Richmond County,13245,30815,Hephzibah,20,11,393,550,3,5,182,309,165,201,18,19,4,4,1,1,1304380
HERITAGE ACADEMY ELEMENTARY,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,462,481,496,490,523,462,481,496,487,523,190,208,321,0,0,0,0,0,462,481,496,487,523,378,397,399,407,401,NA,NA,NA,NA,NA,1.30012E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),5th Grade,Prekindergarten,Heritage Academy Elementary,Fulton County,13121,30354,Atlanta,1,1,462,523,0,0,0,1,448,517,13,4,0,0,0,0,1300120
HERITAGE ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,491,642,679,830,770,491,642,679,827,767,220,366,404,0,0,0,0,0,491,642,679,827,767,363,505,519,650,606,NA,NA,NA,NA,NA,1.30228E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heritage Elementary School,Fulton County,13121,30349,Atlanta,3,6,491,770,1,0,1,5,456,734,29,22,1,3,0,0,1302280
HERITAGE ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,672,765,727,748,765,665,759,720,741,753,231,299,297,0,0,0,0,0,665,759,720,741,753,543,605,571,573,595,NA,NA,NA,NA,NA,1.30042E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Heritage Elementary School,Bibb County,13021,31220,Macon,32,34,672,765,0,0,120,219,457,449,39,28,21,35,3,0,1300420
HERITAGE HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1857,1776,1825,1860,1814,844,791,850,922,851,249,218,467,161,164,161,134,133,1005,955,1011,1056,984,NA,NA,NA,NA,NA,1857,1776,1825,1860,1814,1.30441E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Heritage High School,Rockdale County,13247,30094,Conyers,69,53,1857,1814,3,1,296,439,1157,995,306,285,26,39,0,2,1304410
HERITAGE HIGH SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,1278,1331,1320,1328,1363,234,295,328,327,333,140,149,198,103,112,106,112,112,337,407,434,439,445,NA,NA,NA,NA,NA,1278,1331,1320,1328,1363,1.30093E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Heritage High School,Catoosa County,13047,30736,Ringgold,44,37,1278,1363,1,0,1165,1225,21,31,29,50,14,17,4,3,1300930
HERITAGE MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,935,919,928,939,943,245,233,234,236,261,141,112,131,90,86,76,80,91,335,319,310,316,352,925,919,928,939,943,NA,NA,NA,NA,NA,1.30093E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Heritage Middle School,Catoosa County,13047,30736,Ringgold,24,30,935,943,0,0,841,852,20,18,33,30,17,12,0,1,1300930
HERITAGE PREPARATORY ACADEMY SCHOOL,Georgia,NA,NA,NA,NA,11-City: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30023E+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300228
HERSCHEL JONES MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,778,714,726,723,737,377,367,377,361,363,211,204,236,78,75,78,90,79,455,442,455,451,442,768,714,726,723,737,NA,NA,NA,NA,NA,1.30402E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Herschel Jones Middle School,Paulding County,13223,30132,Dallas,61,39,778,737,1,1,330,385,282,237,92,67,10,5,2,3,1304020
HESSE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1326,1300,1251,1096,1030,583,429,493,407,395,371,263,360,90,70,64,41,45,673,499,557,448,440,1134,1102,1063,919,865,NA,NA,NA,NA,NA,1.30102E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,No,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,Prekindergarten,Hesse School,Chatham County,13051,31406,Savannah,43,57,1326,1030,5,2,659,740,285,155,273,43,48,25,13,8,1301020
HICKORY FLAT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,660,678,674,708,697,299,332,320,328,415,176,213,190,68,62,59,57,66,367,394,379,385,481,556,583,569,588,578,NA,NA,NA,NA,NA,1.30282E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hickory Flat Elementary School,Henry County,13151,30253,McDonough,34,36,660,697,2,0,47,79,461,482,57,53,58,47,1,0,1302820
HICKORY FLAT ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,609,533,478,525,550,60,58,50,49,60,23,36,18,19,14,10,19,17,79,72,60,68,77,504,444,396,469,481,NA,NA,NA,NA,NA,1.30111E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hickory Flat Elementary School,Cherokee County,13057,30115,Canton,37,14,609,550,0,1,479,459,27,20,55,49,11,3,0,4,1301110
HICKORY HILLS ELEMENTARY SCHOOL,Georgia,13-City: Small,13-City: Small,13-City: Small,13-City: Small,13-City: Small,369,372,404,385,362,203,277,305,290,269,59,3,91,25,25,28,26,25,228,302,333,316,294,307,299,332,308,289,NA,NA,NA,NA,NA,1.30351E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes under Provision 2,Yes under Provision 2,Yes participating without using any Provision or the CEO,Yes under Provision 2,5th Grade,Kindergarten,Hickory Hills Elementary School,Cobb County,13067,30064,Marietta,10,9,369,362,1,4,56,45,131,131,165,167,6,5,0,1,1303510
HICKS ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1036,1014,1029,1016,1019,728,713,773,758,712,186,172,525,84,95,71,82,53,812,808,844,840,765,726,731,744,735,719,NA,NA,NA,NA,NA,1.30441E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hicks Elementary School,Rockdale County,13247,30012,Conyers,47,33,1036,1019,0,6,54,64,745,709,182,193,6,13,2,1,1304410
HIGH POINT ELEMENTARY SCHOOL,Georgia,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,12-City: Mid-size,13-City: Small,726,727,758,772,794,299,317,344,369,419,104,100,172,7,24,28,24,23,306,341,372,393,442,567,566,571,597,595,NA,NA,NA,NA,NA,1.30228E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,High Point Elementary School,Fulton County,13121,30342,Atlanta,38,22,726,794,0,1,252,251,154,139,247,340,35,40,0,1,1302280
HIGH SHOALS ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,542,546,525,505,481,82,88,83,98,78,38,47,49,17,18,18,18,25,99,106,101,116,103,450,453,430,425,377,NA,NA,NA,NA,NA,1.30396E+11,2-Title I targeted assistance school,6-Not a Title I school,2-Title I targeted assistance school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,High Shoals Elementary School,Oconee County,13219,30621,Bishop,13,11,542,481,1,0,476,415,10,7,35,38,6,10,1,0,1303960
HIGHTOWER ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,752,765,762,844,832,666,667,684,760,802,244,281,348,30,28,32,43,27,696,695,716,803,829,595,645,618,686,665,NA,NA,NA,NA,NA,1.30174E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hightower Elementary School,DeKalb County,13089,30360,Doraville,2,8,752,832,1,0,20,17,29,80,669,692,30,35,1,0,1301740
HIGHTOWER TRAIL ELEMENTARY SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,601,617,644,667,689,394,392,439,422,411,133,95,261,65,60,60,78,68,459,452,499,500,479,461,500,508,552,569,NA,NA,NA,NA,NA,1.30441E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hightower Trail Elementary School,Rockdale County,13247,30013,Conyers,22,22,601,689,2,0,116,213,368,362,87,84,6,7,0,1,1304410
HIGHTOWER TRAIL MIDDLE SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,1059,1077,1122,1078,1063,42,55,56,54,51,19,21,26,15,18,22,13,18,57,73,78,67,69,1049,1077,1122,1078,1063,NA,NA,NA,NA,NA,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Hightower Trail Middle School,Cobb County,13067,30062,Marietta,47,33,1059,1063,0,0,764,833,60,61,77,47,109,86,2,3,1301290
HILL CITY ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,577,628,631,607,603,264,288,295,281,290,132,132,172,52,59,56,75,53,316,347,351,356,343,400,472,471,457,460,NA,NA,NA,NA,NA,1.30411E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,4th Grade,Prekindergarten,Hill City Elementary School,Pickens County,13227,30143,Jasper,13,11,577,603,0,0,533,575,4,1,21,11,2,4,4,1,1304110
HILLCREST ELEMENTARY,Georgia,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,33-Town: Remote,522,525,541,453,430,522,525,541,450,430,458,236,307,0,0,0,0,0,522,525,541,450,430,357,369,380,386,364,NA,NA,NA,NA,NA,1.30187E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes under Community Eligibility Option (CEO),Yes participating without using any Provision or the CEO,Yes under Community Eligibility Option (CEO),4th Grade,Prekindergarten,Hillcrest Elementary,Laurens County,13175,31021,Dublin,11,15,522,430,0,0,23,51,469,347,10,15,9,2,0,0,1301870
HILLCREST ELEMENTARY SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,387,405,405,382,417,135,138,168,150,190,73,59,96,40,30,26,38,32,175,168,194,188,222,290,310,299,287,312,NA,NA,NA,NA,NA,1.3E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,5th Grade,Prekindergarten,Hillcrest Elementary School,Troup County,13285,30240,Lagrange,16,21,387,417,0,5,280,270,50,84,17,18,23,17,1,2,1300001
HILLGROVE HIGH SCHOOL,Georgia,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,21-Suburb: Large,2399,2465,2466,2404,2301,366,385,372,406,377,152,131,149,130,122,131,88,106,496,507,503,494,483,NA,NA,NA,NA,NA,2399,2465,2466,2404,2301,1.30129E+11,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,6-Not a Title I school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,9th Grade,Hillgrove High School,Cobb County,13067,30127,Powder Springs,108,67,2399,2301,1,1,1120,1272,839,734,250,168,76,57,5,2,1301290
HILLIARD A. WILBANKS MIDDLE SCHOOL,Georgia,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,41-Rural: Fringe,515,514,496,469,506,292,284,315,291,302,159,133,164,66,53,44,39,41,358,337,359,330,343,505,514,496,469,506,NA,NA,NA,NA,NA,1.30258E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,8th Grade,6th Grade,Hilliard A. Wilbanks Middle School,Habersham County,13137,30535,Demorest,13,19,515,506,0,1,261,290,21,14,190,157,30,24,0,1,1302580
HILLSIDE CONANT SCHOOL,Georgia,11-City: Large,11-City: Large,11-City: Large,11-City: Large,11-City: Large,59,69,66,66,74,56,66,60,63,71,56,66,60,0,0,0,0,0,56,66,60,63,71,34,28,43,43,42,25,41,23,23,32,1.30012E+11,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,Yes participating without using any Provision or the CEO,12th Grade,1st Grade,Hillside Conant School,Fulton County,13121,30306,Atlanta,3,3,59,74,0,1,27,38,24,31,5,1,0,0,0,0,1300120
